,Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
598,Severe Weather,2011,8/21/2011,10:45 PM,8/23/2011,10:45 PM,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,"2,200","931,000",severe weather
599,Severe Weather,2011,8/20/2011,5:42 PM,8/23/2011,8:00 PM,"Detroit Edison, Subsidiary of DTE Energy",Southeastern Michigan,RFC,254,"65,000",severe weather
600,Suspected Physical Attack,2011,8/18/2011,9:51 AM,8/18/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,,"vandalism, physical"
601,Vandalism,2011,8/15/2011,2:05 AM,8/15/2011,3:40 AM,PacifiCorp,Utah,WECC,0,0,vandalism
602,Severe Weather,2011,8/13/2011,4:41 PM,8/14/2011,7:00 PM,LG&E and KU Energy LLC,Kentucky,SERC,UNK,"181,700",severe weather
603,Vandalism,2011,8/9/2011,10:26 AM,8/9/2011,5:00 PM,City of Tacoma (TPWR),"Polk Substation, Tacoma, Washington",WECC,,,vandalism
604,Severe Weather,2011,8/8/2011,8:58 PM,8/10/2011,4:30 PM,Oklahoma Gas & Electric,Northern and Central Oklahoma,SPP,,"54,000",severe weather
605,Vandalism,2011,8/8/2011,9:35 AM,8/8/2011,4:00 PM,City of Tacoma (TPWR),"Collins Substation, Washington",WECC,,,vandalism
606,Electrical System Separation (Islanding),2011,8/8/2011,7:36 PM,8/9/2011,12:00 PM,Oklahoma Municipal Power Authority,Oklahoma,SPP,92,"14,500",islanding
607,Suspected Physical Attack,2011,8/8/2011,9:30 AM,8/8/2011,9:30 AM,Dayton Power & Light,"Greene County, Ohio",RFC,0,0,"vandalism, physical"
608,Public Appeal to Reduce Electricity Usage,2011,8/4/2011,10:30 AM,8/4/2011,4:00 PM,American Electric Power (AEP),"Arkansas, Oklahoma, Texas",SPP,,,public appeal
609,Public Appeal to Reduce Electricity Usage,2011,8/3/2011,4:29 PM,8/3/2011,11:40 PM,Grand River Dam Authority,Northeast Oklahoma,SPP,300,,public appeal
610,Public Appeal to Reduce Electricity Usage,2011,8/3/2011,4:30 PM,8/3/2011,9:00 PM,Entergy,Central Arkansas,SPP,0,0,public appeal
611,Fuel Supply Deficiency (Coal),2011,8/3/2011,10:00 AM,8/19/2011,10:00 AM,AES Somerset LLC,Western New York,NPCC,675,UNK,"fuel supply emergency, coal"
612,Severe Weather,2011,8/2/2011,9:30 PM,8/3/2011,7:00 PM,Exelon Corporation/ComEd,"Northeast, Illinois",RFC,UNK,"71,500",severe weather
613,Public Appeal to Reduce Electricity Usage,2011,8/2/2011,10:15 AM,8/3/2011,9:16 AM,Oklahoma Gas & Electric,Oklahoma,SPP,,,public appeal
614,Public Appeal to Reduce Electricity Usage,2011,8/1/2011,3:00 PM,8/5/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
615,Vandalism,2011,8/1/2011,2:18 PM,8/1/2011,2:18 PM,PacificCorp,"Jefferson, Oregon",WECC,,,vandalism
616,Vandalism,2011,7/29/2011,11:46 AM,7/29/2011,5:00 PM,City of Tacoma (TPWR),"Fredrickson, Washington",WECC,,,vandalism
617,Severe Weather,2011,7/29/2011,8:45 PM,8/1/2011,4:24 AM,FirstEnergy Corp: Jersey Central Power & Light,Central New Jersey,RFC,,"67,900",severe weather
618,Vandalism,2011,7/28/2011,7:25 PM,7/28/2011,7:25 PM,City of Tacoma (TPWR),"Spanaway, Washington",WECC,,,vandalism
619,Vandalism,2011,7/28/2011,1:32 PM,7/28/2011,1:32 PM,Northern Indiana Public Service Company (NIPSCO),Indiana,RFC,,,vandalism
620,Severe Weather,2011,7/28/2011,12:14 AM,7/29/2011,12:00 PM,Exelon Corporation/ComEd,"Entire ComEd Territory, Indiana",RFC,UNK,"201,000",severe weather
621,Fuel Supply Deficiency (Coal),2011,7/28/2011,7:26 AM,7/29/2011,7:26 AM,Owensboro Municipal Utilities,"Daviess County, Kentucky",SERC,,,"fuel supply emergency, coal"
622,Vandalism,2011,7/27/2011,12:07 PM,7/27/2011,12:08 PM,Tacoma Power (TPWR),"Fife, Washington",WECC,,,vandalism
623,Vandalism,2011,7/26/2011,12:01 PM,7/26/2011,12:01 PM,Western Farmers Electric Cooperative,"Backup Control Center, Oklahoma",SPP,0,0,vandalism
624,Vandalism,2011,7/24/2011,2:34 PM,7/24/2011,3:47 PM,Public Service of NH (Northeast Utilities),"Southern, New Hampshire",NPCC,0,0,vandalism
625,Severe Weather,2011,7/23/2011,2:30 AM,7/24/2011,9:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"169,000",severe weather
626,Public Appeal to Reduce Electricity Usage,2011,7/22/2011,11:00 AM,7/22/2011,6:00 PM,Niagara Mohawk Power Corporation (dba National Grid),"Upstate, New York",NPCC,,,public appeal
627,Load Shed,2011,7/22/2011,11:34 AM,7/22/2011,5:26 PM,PJM Interconnection,Ohio,RFC,206,"23,000",load shedding
628,Public Appeal to Reduce Electricity Usage,2011,7/21/2011,1:00 PM,7/21/2011,3:00 PM,City Water Light and Power,"Springfield, Illinois",SERC,,,public appeal
629,Public Appeal to Reduce Electricity Usage,2011,7/21/2011,12:32 PM,7/22/2011,6:30 AM,Consumers Energy,"Lower Peninsula, Michigan",RFC,"8,881",,public appeal
630,Vandalism,2011,7/20/2011,9:10 AM,7/20/2011,4:30 PM,Tacoma Power (TPWR),"Frederickson Substation, Washington",WECC,,,vandalism
631,Vandalism,2011,7/19/2011,11:45 AM,7/19/2011,3:00 PM,Central Maine Power Company,Maine,NPCC,,,vandalism
632,Severe Weather,2011,7/18/2011,5:00 PM,7/24/2011,1:30 PM,"Detroit Edison, Subsidiary of DTE Energy",Southeast Michigan,RFC,,"197,166",severe weather
633,Public Appeal to Reduce Electricity Usage,2011,7/14/2011,11:00 AM,7/14/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
634,Load Shed,2011,7/13/2011,5:19 PM,7/13/2011,10:03 PM,Public Service Company of Colorado,"Pueblo, Colorado",WECC,580,,load shedding
635,Suspected Physical Attack,2011,7/12/2011,8:20 PM,7/12/2011,9:30 PM,Gen On,California,WECC,UNK,UNK,"vandalism, physical"
636,Vandalism,2011,7/12/2011,12:00 PM,7/12/2011,12:00 PM,Central Maine Power Company,Maine,NPCC,,0,vandalism
637,Severe Weather,2011,7/11/2011,2:27 PM,7/12/2011,3:50 PM,American Electric Power (AEP),"Indiana, Michigan, Ohio",RFC,UNK,"120,000",severe weather
638,Vandalism,2011,7/11/2011,1:30 PM,7/11/2011,1:30 PM,Central Maine Power Company,Maine,NPCC,,0,vandalism
639,Vandalism,2011,7/11/2011,1:13 PM,7/11/2011,1:13 PM,Duke Energy,Southwest Ohio,RFC,0,0,vandalism
640,Severe Weather,2011,7/11/2011,9:00 AM,7/11/2011,10:25 AM,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,254,"103,000",severe weather
641,Severe Weather,2011,7/11/2011,9:00 AM,7/11/2011,9:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"500,000",severe weather
642,Severe Weather,2011,7/11/2011,11:15 AM,7/12/2011,8:15 AM,Consumers Energy,Western and Southern Lower Peninsula Michigan,RFC,UNK,"85,000",severe weather
643,Vandalism,2011,7/8/2011,10:00 AM,7/8/2011,10:00 AM,Minnesota Power,"Saginaw, Minnesota",MRO,0,0,vandalism
644,Suspected Cyber Attack,2011,7/8/2011,10:00 AM,7/11/2011,9:00 AM,PJM Interconnection,"PJM Corporate Office, Pennsylvania",RFC,UNK,UNK,"vandalism, cyber"
645,Vandalism,2011,7/6/2011,9:51 AM,7/6/2011,9:52 AM,ISO New England,Vermont,NPCC,,,vandalism
646,Vandalism,2011,7/5/2011,10:40 AM,7/5/2011,11:37 AM,PacifiCorp,West Valley Substation Utah,WECC,0,0,vandalism
647,Severe Weather,2011,7/4/2011,6:00 PM,7/4/2011,9:00 PM,Dominion Virginia Power,Virginia,SERC,150,"51,580",severe weather
648,Severe Weather,2011,7/2/2011,8:15 PM,7/6/2011,10:00 PM,"Detroit Edison, Subsidiary of DTE Energy","South East, Lower Peninsula, Michigan",RFC,UNK,"182,000",severe weather
649,Vandalism,2011,7/1/2011,4:38 PM,7/1/2011,10:38 PM,Dayton Power & Light,Greene County Ohio,RFC,,0,vandalism
650,Severe Weather,2011,7/1/2011,5:00 PM,7/3/2011,8:00 PM,Xcel Energy Northern States Power Company,Southwest and South Central Minnesota,MRO,UNK,"70,000",severe weather
651,Vandalism,2011,7/1/2011,8:00 AM,7/1/2011,8:01 AM,ISO New England,"CONVEX Local Control Center, Connecticut",NPCC,0,0,vandalism
652,Major System Interruption/Load Shed,2011,6/30/2011,2:11 PM,6/30/2011,11:25 PM,Salt River Project,"Phoenix, Arizona",WECC,"5,299","160,000",load shedding
653,Vandalism,2011,6/30/2011,10:31 PM,6/30/2011,10:31 PM,Tacoma Power (TPWR),"Olympic Pipeline Substation, Washington",WECC,0,0,vandalism
654,Severe Weather,2011,6/30/2011,10:30 PM,7/1/2011,5:00 PM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"121,000",severe weather
655,Public Appeal to Reduce Electricity Usage,2011,6/29/2011,11:30 AM,6/29/2011,6:04 PM,Southwestern Public Service,"Panhandle and Muleshoe, Texas",SPP,0,0,public appeal
656,Public Appeal to Reduce Electricity Usage,2011,6/27/2011,3:00 PM,6/27/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
657,Vandalism,2011,6/27/2011,6:55 PM,6/27/2011,6:55 PM,City of Tacoma (TPWR),"Olympic Pipeline Substation, Washington",WECC,UNK,UNK,vandalism
658,Climate Change,2011,6/27/2011,12:00 AM,6/29/2011,1:00 AM,AMEREN,Illinois; Missouri,SERC,UNK,"80,000","severe weather, thunderstorm"
659,Climate Change,2011,6/26/2011,6:00 PM,6/27/2011,1:00 PM,Southern Company,Alabama; Georgia,SERC,300,"90,160","severe weather, thunderstorm"
660,Public Appeal to Reduce Electricity Usage,2011,6/26/2011,4:46 PM,6/27/2011,7:59 AM,Sunflower Electric Power Corporation,Southwest Kansas,SPP,UNK,UNK,public appeal
661,Climate Change,2011,6/24/2011,6:30 PM,6/25/2011,1:30 AM,Southern Company,North/North Central Alabama; Georgia,SERC,340,"102,275","severe weather, thunderstorm"
662,Vandalism,2011,6/23/2011,8:10 AM,6/23/2011,9:00 AM,ISO New England/Velco,"Highgate, Vermont",NPCC,0,0,vandalism
663,Vandalism,2011,6/22/2011,8:12 PM,6/22/2011,8:12 PM,Tacoma Power (TPWR),"Knoble Substation, Spanaway, Washington",WECC,0,0,vandalism
664,Severe Weather,2011,6/22/2011,9:46 AM,6/22/2011,9:46 AM,Tennessee Valley Authority (TVA),"Knoxville, Tennessee",SERC,UNK,"106,300",severe weather
665,Climate Change,2011,6/22/2011,7:00 PM,6/23/2011,1:00 AM,Southern Company,Alabama; Georgia,SERC,316,"75,101","severe weather, thunderstorm"
666,Severe Weather,2011,6/21/2011,6:30 PM,6/22/2011,7:00 AM,American Electric Power (AEP),AEP Region,RFC,UNK,"56,000",severe weather
667,Climate Change,2011,6/21/2011,9:45 PM,6/23/2011,2:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"300,000","severe weather, thunderstorm"
668,Vandalism,2011,6/20/2011,10:36 AM,6/20/2011,10:36 AM,Tacoma Power (TPWR),"Collins Substation, Washington",WECC,0,0,vandalism
669,Public Appeal to Reduce Electricity Usage,2011,6/18/2011,4:45 PM,6/20/2011,11:59 PM,West Memphis Utilities,"Eastern, Arkansas",SPP,UNK,UNK,public appeal
670,Climate Change,2011,6/18/2011,5:00 PM,6/18/2011,9:33 PM,Duke Energy Carolinas,North Carolina; South Carolina,SERC,300,"70,000","severe weather, thunderstorm"
671,Climate Change,2011,6/18/2011,3:30 PM,6/19/2011,3:42 PM,Southern Company,"Northern, Georgia",SERC,312,"93,828","severe weather, thunderstorm"
672,Vandalism,2011,6/15/2011,4:00 PM,6/16/2011,6:30 AM,PacifiCorp,"Bingham County, Idaho",WECC,,,vandalism
673,Climate Change,2011,6/15/2011,7:15 PM,6/16/2011,6:00 AM,Southern Company,Georgia,SERC,563,"169,000","severe weather, thunderstorm"
674,Climate Change,2011,6/15/2011,7:17 PM,6/16/2011,1:45 AM,Duke Energy,"Piedmont, North Carolina",SERC,300,"70,135","severe weather, thunderstorm"
675,Climate Change,2011,6/12/2011,7:00 PM,6/12/2011,8:30 PM,Dominion Virginia Power,Virginia,RFC,250,"56,000","severe weather, thunderstorm"
676,Suspected Physical Attack,2011,6/9/2011,2:15 PM,6/9/2011,2:15 PM,Southern California Edison (SCE),"San Antonio Dam Area, Los Angeles County, California",WECC,0,0,"vandalism, physical"
677,Climate Change,2011,6/9/2011,5:51 PM,6/10/2011,12:00 PM,ISO New England/Northeast Utilities,"Western, Massachusetts; Connecticut",NPCC,0,"100,000","severe weather, thunderstorm"
678,Climate Change,2011,6/9/2011,4:30 AM,6/9/2011,12:00 PM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"169,000","severe weather, thunderstorm"
679,Vandalism,2011,6/8/2011,12:58 PM,6/8/2011,12:58 PM,Tacoma Power (TPWR),"Fredrickson Substation, Washington",WECC,,,vandalism
680,Severe Weather,2011,6/7/2011,2:00 PM,6/8/2011,6:00 AM,American Electric Power,Ohio,RFC,UNK,"52,747",severe weather
681,Public Appeal to Reduce Electricity Usage,2011,6/6/2011,3:00 PM,6/8/2011,3:00 PM,West Memphis Utilities,"Eastern, Arkansas",SPP,UNK,"13,000",public appeal
682,Load Shed/ Automatic undervoltage relay action,2011,6/6/2011,12:13 AM,6/6/2011,3:15 AM,El Paso Electric Company,"El Paso County, Texas; Dona Ana County, New Mexico",SPP,450,"162,000",load shedding
683,Electrical System Separation (Islanding),2011,6/5/2011,8:02 PM,6/5/2011,8:55 PM,Pacific Gas and Electric,"Melones, California",WECC,10,"5,314",islanding
684,Climate Change,2011,6/5/2011,5:30 AM,6/6/2011,1:30 AM,CenterPoint Energy,"Houston Metro-Area, Texas",TRE,473,"78,000","severe weather, thunderstorm"
685,Vandalism,2011,6/4/2011,1:17 AM,6/4/2011,3:25 AM,Pacific Gas and Electric,"Midway, California",WECC,UNK,420,vandalism
686,Severe Weather,2011,6/2/2011,11:45 PM,6/4/2011,4:00 PM,South Carolina Electric and Gas,"Greater Columbia, South Carolina",SERC,0,"50,465",severe weather
687,Severe Weather,2011,5/29/2011,6:30 PM,5/31/2011,10:00 PM,Consumers Energy,"Mid and Southern Lower Peninsula, Michigan",RFC,250,"113,000",severe weather
688,Severe Weather,2011,5/26/2011,7:56 PM,5/27/2011,6:00 PM,PPL Electric Utilities,Central Pennsylvania,RFC,150,"120,001",severe weather
689,Transmission Level Interruption,2011,5/26/2011,1:00 AM,5/26/2011,6:00 AM,Greenwood Utilities Commission,"Greenwood, Mississippi",SERC,30,"10,000",transmission interruption
690,Severe Weather,2011,5/26/2011,6:30 PM,5/28/2011,4:44 AM,Southern Company,"Southern Balancing Area, Georgia",SERC,729,"218,783",severe weather
691,Severe Weather,2011,5/25/2011,10:14 PM,5/28/2011,11:00 AM,Duke Energy Midwest,Central Indiana,RFC,200,"141,000",severe weather
692,Severe Weather,2011,5/24/2011,4:45 PM,5/26/2011,5:00 PM,Oklahoma Gas & Electric,Central Oklahoma,SPP,UNK,"54,000",severe weather
693,Severe Weather,2011,5/24/2011,4:35 PM,5/25/2011,12:40 PM,Dominion Virginia Power,Eastern Virginia,SERC,790,"175,000",severe weather
694,Physical Attack,2011,5/24/2011,9:00 AM,5/25/2011,9:10 AM,Edison Mission Generation (Fisk Station),"Chicago, Illinois",RFC,0,0,"vandalism, physical"
695,Severe Weather,2011,5/23/2011,4:45 PM,5/25/2011,11:59 PM,Duke Energy Midwest,"Central, Indiana",RFC,"1,024","215,387",severe weather
696,Severe Weather,2011,5/23/2011,12:30 PM,5/25/2011,12:30 PM,Ameren,"St. Louis County, Missouri",SERC,UNK,"70,000",severe weather
697,Severe Weather,2011,5/22/2011,5:09 PM,5/31/2011,12:01 PM,Empire District Electric,"Joplin, Sarcoxie, and Wentworth, Missouri",SPP,200,"20,000",severe weather
698,Physical Attack,2011,5/21/2011,5:00 PM,5/22/2011,6:34 PM,"Terra-Gen Dixie Valley, LLC","Dixie Valley Area, Nevada",WECC,56,UNK,"vandalism, physical"
699,Vandalism,2011,5/13/2011,6:00 AM,5/13/2011,6:00 AM,PacifiCorp,"Salt Lake, Utah",WECC,0,0,vandalism
700,Severe Weather,2011,5/11/2011,12:15 AM,5/11/2011,5:20 PM,Duke Energy Carolinas,"Charlotte, North Carolina",SERC,300,"71,000",severe weather
701,Vandalism,2011,5/11/2011,3:55 PM,5/12/2011,1:57 PM,Minnesota Power,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",MRO,0,0,vandalism
702,Vandalism,2011,5/11/2011,1:35 PM,5/11/2011,1:35 PM,PacifiCorp,"Green River, Wyoming",WECC,0,0,vandalism
703,Vandalism,2011,5/11/2011,11:00 AM,5/11/2011,11:30 AM,Central Hudson Gas & Electric Corp.,"North Chelsea Substation, New York",NPCC,0,0,vandalism
704,Vandalism,2011,5/10/2011,1:45 PM,5/10/2011,3:00 PM,ISO New England,New Hampshire,NPCC,0,0,vandalism
705,Severe Weather,2011,5/10/2011,10:21 PM,5/11/2011,2:25 PM,American Electric Power,"Kentucky, West Virginia",RFC,UNK,"58,000",severe weather
706,Mechanical_fault,2011,5/10/2011,3:25 AM,5/11/2011,2:10 PM,Midwest Independent System Operator (MISO),"Upper Peninsula, Michigan",RFC,585,"78,213","load shedding, islanding"
707,Vandalism,2011,5/9/2011,1:11 PM,5/9/2011,1:11 PM,Public Service of New Hampshire,"Milton, New Hampshire",NPCC,0,0,vandalism
708,Suspected Physical Attack,2011,5/9/2011,4:08 AM,5/9/2011,6:40 AM,"Exelon Generation Company, LLC","Holtwood, Pennsylvania",RFC,630,UNK,"vandalism, physical"
709,Vandalism,2011,5/8/2011,7:35 PM,5/8/2011,7:35 PM,"Castleton Power, LLC",New York,NPCC,UNK,0,vandalism
710,Vandalism,2011,5/6/2011,6:56 AM,5/6/2011,10:30 AM,PacifiCorp,"Alderwood Substation, Portland, Oregon",WECC,0,0,vandalism
711,Vandalism,2011,5/5/2011,9:15 AM,5/5/2011,9:15 AM,ISO New England,New Hampshire,NPCC,0,0,vandalism
712,Suspected Sabotage,2011,5/4/2011,12:20 PM,5/4/2011,3:40 PM,"ITC Holdings, Inc.",Michigan,RFC,0,0,vandalism
713,Suspected Physical Attack,2011,5/4/2011,1:08 PM,5/4/2011,1:25 PM,FirstEnergy Generation,Maryland,RFC,0,0,"vandalism, physical"
714,Suspected Physical Attack,2011,5/3/2011,12:00 PM,5/5/2011,12:00 PM,New York Power Authority,"St. Lawrence Power Dam, New York",NPCC,0,0,"vandalism, physical"
715,Severe Weather,2011,5/2/2011,5:06 PM,5/2/2011,8:00 PM,Hawaiian Electric Company,Hawaii,PR,220,"62,000",severe weather
716,Suspected Physical Attack,2011,5/2/2011,2:00 PM,5/2/2011,2:00 PM,The United Illuminating Company,"West River Substation, New Haven, Connecticut",NPCC,0,0,"vandalism, physical"
717,Vandalism,2011,5/2/2011,8:52 AM,5/2/2011,10:46 AM,PacifiCorp,"N. Ogden Substation, Ogden, Utah",WECC,0,0,vandalism
718,Severe Weather,2011,4/28/2011,5:00 AM,4/30/2011,6:30 PM,FirstEnergy Service Company,"Cleveland area, Ohio",RFC,UNK,"86,000",severe weather
719,Equipment Malfunction,2011,4/28/2011,4:09 PM,4/28/2011,4:10 PM,"Mesquite Power, LLC","Phoenix, Arizona",WECC,960,UNK,equipment failure
720,Severe Weather,2011,4/27/2011,10:00 AM,4/29/2011,4:29 PM,Tennessee Valley Authority,"Alabama, Georgia, Mississippi, Tennessee",SERC,UNK,"612,000",severe weather
721,Severe Weather,2011,4/27/2011,8:00 AM,5/2/2011,4:03 PM,Southern Company,"Alabama, Florida, Georgia, Mississippi",SERC,"1,422","426,640",severe weather
722,Severe Weather,2011,4/27/2011,10:00 PM,4/28/2011,10:00 AM,American Electric Power,"Ohio, Tennessee, Virginia",SERC,0,"69,000",severe weather
723,Severe Weather,2011,4/26/2011,6:14 PM,4/28/2011,5:00 PM,West Memphis Utilities,Eastern Arkansas,SPP,50,"13,000",severe weather
724,Vandalism,2011,4/26/2011,1:04 PM,4/26/2011,2:00 PM,PacifiCorp,"Salt Lake City, Utah",WECC,0,0,vandalism
725,Severe Weather,2011,4/26/2011,5:49 AM,4/27/2011,9:59 AM,Entergy Corporation,Southern Louisiana,SPP,120,UNK,severe weather
726,Severe Weather,2011,4/26/2011,9:51 AM,4/28/2011,9:51 AM,Tennessee Valley Authority,"Alabama, Georgia, Mississippi, Tennessee",SERC,UNK,"55,000",severe weather
727,Severe Weather,2011,4/25/2011,5:30 PM,4/27/2011,6:00 PM,Entergy Corporation,"Arkansas, Louisiana, Mississippi",SPP,UNK,"141,700",severe weather
728,Equipment Malfunction,2011,4/25/2011,4:33 PM,4/25/2011,5:19 PM,Tennessee Valley Authority,Northeast Tennessee,SERC,140,UNK,equipment failure
729,Severe Weather,2011,4/22/2011,9:00 PM,4/22/2011,11:00 PM,Ameren,"Metro St. Louis area, Missouri",SERC,0,"55,000",severe weather
730,Suspicious Activity,2011,4/21/2011,7:00 PM,4/29/2011,7:05 PM,ITC Holdings,"Trenton, Michigan",RFC,UNK,UNK,vandalism
731,Vandalism,2011,4/21/2011,7:15 AM,4/21/2011,4:50 PM,PacifiCorp,"Oquirrh Substation, Salt Lake City, Utah",WECC,0,0,vandalism
732,Severe Weather - High Winds,2011,4/20/2011,2:00 AM,4/21/2011,12:00 PM,Duke Energy Midwest,"Indiana, Kentucky, Ohio",RFC,UNK,"165,711","severe weather, wind"
733,Equipment Malfunction,2011,4/20/2011,8:07 AM,4/20/2011,8:14 AM,City of Ruston & Constellation Energy,"Ruston, Louisiana",SERC,33,"11,000",equipment failure
734,Severe Weather,2011,4/19/2011,8:00 PM,4/19/2011,10:00 PM,Ameren Illinois,Illinois,SERC,UNK,"80,000",severe weather
735,Severe Weather,2011,4/19/2011,11:13 PM,4/20/2011,7:14 PM,Constellation Energy Control and Dispatch,"Osceola, Arkansas",SERC,22,UNK,severe weather
736,Severe Weather,2011,4/19/2011,11:02 PM,4/21/2011,5:32 PM,Tennessee Valley Authority,"Memphis, Tennessee",SERC,300,"105,000",severe weather
737,Vandalism,2011,4/19/2011,2:01 PM,4/19/2011,4:04 PM,Tacoma Power Water Rail (TPWR),"Graham, Washington",WECC,0,0,vandalism
738,Severe Weather,2011,4/19/2011,10:44 PM,4/20/2011,2:00 AM,Memphis Light Gas and Water Division,"Memphis, Tennessee",SERC,100,"64,000",severe weather
739,Severe Weather,2011,4/16/2011,2:16 PM,4/17/2011,4:30 PM,Progress Energy Carolinas Inc,Central and Eastern North Carolina,SERC,UNK,"220,000",severe weather
740,Suspicious Activity,2011,4/11/2011,5:40 PM,4/11/2011,5:51 PM,PacifiCorp,"Salt Lake City, Utah",WECC,0,0,vandalism
741,Vandalism,2011,4/6/2011,10:50 AM,4/6/2011,10:50 AM,Delmarva Power & Light Company,"Felton, Delaware",RFC,0,0,vandalism
742,Severe Weather,2011,4/5/2011,2:00 AM,4/7/2011,11:00 PM,Duke Energy Carolinas,"North Carolina, South Carolina",SERC,"1,200","256,000",severe weather
743,Severe Weather,2011,4/4/2011,9:00 PM,4/5/2011,11:30 PM,Southern Company,"Alabama, Florida, Georgia, Mississippi",SERC,674,"303,434",severe weather
744,Severe Weather,2011,4/4/2011,7:00 PM,4/5/2011,8:00 PM,Entergy Corporation,"Southeast Arkansas, Southeast Louisiana, Western Mississippi, Eastern Texas",SERC,UNK,"74,645",severe weather
745,Severe Weather,2011,4/4/2011,7:00 PM,4/5/2011,12:00 PM,American Electric Power (AEP),"Kentucky, West Virginia",RFC,UNK,"52,920",severe weather
